00:15:48;INFO;FRAM;[INIT] slots=0 next=0x40 range=0x40..0x1FFF
00:17:42;INFO;FRAM;[INIT] slots=0 next=0x40 range=0x40..0x1FFF
00:22:41;INFO;FRAM;[INIT] slots=0 next=0x40 range=0x40..0x1FFF
00:24:12;INFO;FRAM;[INIT] slots=0 next=0x40 range=0x40..0x1FFF
00:31:44;INFO;FRAM;[INIT] slots=0 next=0x40 range=0x40..0x1FFF
00:32:48;INFO;FRAM;[INIT] slots=0 next=0x40 range=0x40..0x1FFF
00:46:49;INFO;FRAM;[INIT] slots=0 next=0x40 range=0x40..0x1FFF
01:05:12;WARNING;LOGIC;Inverter & Relay automation HOLD - inverter data read cycle failed. Retry in next period.
01:05:32;WARNING;LOGIC;Inverter & Relay automation HOLD - inverter data read cycle failed. Retry in next period.
01:05:52;WARNING;LOGIC;Inverter & Relay automation HOLD - inverter data read cycle failed. Retry in next period.
01:06:12;WARNING;LOGIC;Inverter & Relay automation HOLD - inverter data read cycle failed. Retry in next period.
01:06:32;WARNING;LOGIC;Inverter & Relay automation HOLD - inverter data read cycle failed. Retry in next period.
01:06:52;WARNING;LOGIC;Inverter & Relay automation HOLD - inverter data read cycle failed. Retry in next period.
01:07:12;WARNING;LOGIC;Inverter & Relay automation HOLD - inverter data read cycle failed. Retry in next period.
01:07:32;WARNING;LOGIC;Inverter & Relay automation HOLD - inverter data read cycle failed. Retry in next period.
01:07:52;WARNING;LOGIC;Inverter & Relay automation HOLD - inverter data read cycle failed. Retry in next period.
01:08:12;WARNING;LOGIC;Inverter & Relay automation HOLD - inverter data read cycle failed. Retry in next period.
01:08:32;WARNING;LOGIC;Inverter & Relay automation HOLD - inverter data read cycle failed. Retry in next period.
01:08:52;WARNING;LOGIC;Inverter & Relay automation HOLD - inverter data read cycle failed. Retry in next period.
01:09:12;WARNING;LOGIC;Inverter & Relay automation HOLD - inverter data read cycle failed. Retry in next period.
01:09:32;WARNING;LOGIC;Inverter & Relay automation HOLD - inverter data read cycle failed. Retry in next period.
01:09:52;WARNING;LOGIC;Inverter & Relay automation HOLD - inverter data read cycle failed. Retry in next period.
01:10:12;WARNING;LOGIC;Inverter & Relay automation HOLD - inverter data read cycle failed. Retry in next period.
01:10:32;WARNING;LOGIC;Inverter & Relay automation HOLD - inverter data read cycle failed. Retry in next period.
